,level,position,salaries
832,Senior,Team / Tech Lead,28.000
833,Middle,Full Stack Developer,12.000
834,Middle,Back-end Developer,25.000
835,Senior,Business Analyst,25.000
836,Senior,Team / Tech Lead,25.000
839,Middle,Front-end Developer,11.000
840,Senior,Full Stack Developer,12.000
841,Senior,Full Stack Developer,16.000
842,Senior,Full Stack Developer,18.000
843,Middle,Back-end Developer,23.000
845,Junior,Full Stack Developer,7.000
846,Senior,Back-end Developer,20.000
847,Middle,Full Stack Developer,7.000
848,Middle,Mobile Application Developer,15.000
849,Senior,Front-end Developer,13.000
850,Middle,Full Stack Developer,22.000
851,Senior,Full Stack Developer,23.000
852,Middle,Back-end Developer,9.000
853,Middle,Front-end Developer,16.000
854,Junior,Full Stack Developer,10.000
855,Senior,Team / Tech Lead,30.000
856,Senior,Team / Tech Lead,30.000
857,Junior,DevOps Engineer,9.000
858,Senior,Software Architect,32.000
860,Senior,Team / Tech Lead,27.000
861,Middle,Full Stack Developer,5.000
862,Senior,Full Stack Developer,17.000
863,Junior,QA / Test Automation Developer,16.000
864,Middle,DevOps Engineer,14.000
865,Junior,QA / Test Automation Developer,13.000
866,Senior,Software Architect,18.000
867,Senior,Full Stack Developer,15.000
868,Junior,Back-end Developer,8.000
869,Senior,Full Stack Developer,23.000
871,Senior,Full Stack Developer,22.000
874,Senior,Full Stack Developer,19.000
875,Middle,Back-end Developer,10.000
876,Middle,Back-end Developer,10.000
878,Senior,Full Stack Developer,9.000
879,Middle,Front-end Developer,18.000
880,Junior,Full Stack Developer,6.000
881,Junior,Front-end Developer,6.000
882,Senior,Full Stack Developer,32.000
883,Senior,Mobile Application Developer,26.000
884,Senior,Full Stack Developer,20.000
886,Senior,Team / Tech Lead,15.000
887,Junior,Back-end Developer,5.000
888,Junior,Back-end Developer,11.000
889,Junior,Front-end Developer,12.000
890,Senior,Embedded Software Developer,18.000
891,Junior,Data Scientist,9.000
892,Senior,Full Stack Developer,32.000
893,Junior,Full Stack Developer,7.000
895,Middle,Full Stack Developer,16.000
896,Senior,Full Stack Developer,16.000
897,Junior,Mobile Application Developer,7.000
898,Middle,Back-end Developer,13.000
899,Senior,Back-end Developer,29.000
900,Senior,Software Development Manager,18.000
901,Junior,Back-end Developer,20.000
902,Middle,Support Engineer,6.000
903,Senior,Full Stack Developer,15.000
904,Middle,Back-end Developer,17.000
905,Junior,Full Stack Developer,18.000
906,Senior,Full Stack Developer,24.000
907,Senior,Back-end Developer,21.000
908,Junior,Seo Specialist,5.000
909,Junior,Full Stack Developer,15.000
911,Senior,Team / Tech Lead,25.000
912,Middle,Full Stack Developer,12.000
913,Senior,Team / Tech Lead,25.000
914,Senior,Full Stack Developer,17.000
915,Senior,Back-end Developer,23.000
916,Middle,Full Stack Developer,16.000
917,Senior,Full Stack Developer,10.000
919,Middle,Back-end Developer,25.000
920,Senior,Back-end Developer,20.000
921,Junior,Front-end Developer,9.000
922,Senior,Back-end Developer,22.000
923,Junior,Full Stack Developer,6.000
924,Senior,DevOps Engineer,14.000
928,Senior,Team / Tech Lead,33.000
929,Junior,Full Stack Developer,9.000
930,Middle,Mobile Application Developer,23.000
931,Senior,Full Stack Developer,27.000
932,Junior,SAP/ABAP/ERP Developer,5.000
933,Junior,Mobile Application Developer,10.000
934,Senior,Team / Tech Lead,14.000
935,Senior,Full Stack Developer,19.000
936,Middle,Mobile Application Developer,8.000
938,Senior,Full Stack Developer,12.000
939,Senior,Software Architect,22.000
940,Junior,Mobile Application Developer,7.000
941,Middle,Mobile Application Developer,12.000
942,Junior,Back-end Developer,5.000
943,Junior,Game Developer,15.000
944,Senior,Software Architect,32.000
946,Senior,Full Stack Developer,13.000
947,Senior,Full Stack Developer,21.000
948,Junior,Embedded Software Developer,15.000
949,Junior,Back-end Developer,6.000
950,Senior,Software Development Manager,18.000
951,Middle,Mobile Application Developer,16.000
952,Middle,Front-end Developer,13.000
953,Senior,Mobile Application Developer,21.000
954,Middle,Back-end Developer,8.000
955,Senior,Full Stack Developer,15.000
956,Senior,CTO,20.000
959,Middle,Front-end Developer,10.000
960,Middle,Full Stack Developer,7.000
961,Junior,Back-end Developer,7.000
962,Senior,Full Stack Developer,9.000
963,Junior,SysAdmin,8.000
964,Middle,Back-end Developer,10.000
965,Junior,Full Stack Developer,5.000
966,Junior,Mobile Application Developer,5.000
967,Middle,Software Architect,25.000
968,Senior,Front-end Developer,18.000
969,Junior,Front-end Developer,7.000
970,Senior,Team / Tech Lead,25.000
971,Middle,Front-end Developer,10.000
972,Junior,Full Stack Developer,9.000
973,Junior,Data Analyst,10.000
975,Senior,Back-end Developer,24.000
976,Junior,Mobile Application Developer,12.000
978,Middle,Mobile Application Developer,14.000
979,Senior,Back-end Developer,15.000
980,Middle,Full Stack Developer,18.000
981,Middle,Back-end Developer,10.000
982,Junior,Full Stack Developer,10.000
983,Senior,Team / Tech Lead,22.000
984,Middle,QA / Test Automation Developer,19.000
985,Junior,Back-end Developer,10.000
986,Junior,Mobile Application Developer,9.000
987,Middle,Back-end Developer,11.000
988,Senior,Full Stack Developer,15.000
989,Senior,Software Development Manager,15.000
990,Senior,Team / Tech Lead,27.000
991,Senior,Software Development Manager,19.000
992,Middle,Full Stack Developer,19.000
993,Junior,Back-end Developer,18.000
994,Middle,Back-end Developer,6.000
995,Junior,Back-end Developer,9.000
996,Senior,Back-end Developer,29.000
997,Senior,Full Stack Developer,10.000
998,Senior,Full Stack Developer,20.000
999,Junior,Full Stack Developer,10.000
1000,Senior,Full Stack Developer,17.000
1001,Middle,Full Stack Developer,10.000
1002,Junior,Back-end Developer,5.000
1003,Senior,Full Stack Developer,44.000
1004,Senior,Full Stack Developer,19.000
1005,Senior,Game Developer,20.000
1006,Senior,Back-end Developer,39.000
1007,Senior,Team / Tech Lead,20.000
1008,Senior,Full Stack Developer,20.000
1009,Senior,Full Stack Developer,16.000
1010,Senior,Full Stack Developer,18.000
1012,Middle,Mobile Application Developer,12.000
1013,Senior,Full Stack Developer,19.000
1014,Junior,Full Stack Developer,9.000
1015,Junior,Full Stack Developer,10.000
1016,Middle,Full Stack Developer,14.000
1017,Middle,Back-end Developer,15.000
1018,Middle,Front-end Developer,9.000
1019,Middle,Back-end Developer,8.000
1020,Middle,Full Stack Developer,14.000
1021,Senior,Support Engineer,20.000
1022,Middle,DevOps Engineer,20.000
1023,Senior,Full Stack Developer,15.000
1024,Junior,Mobile Application Developer,5.000
1025,Senior,Mobile Application Developer,24.000
1026,Senior,Full Stack Developer,26.000
1027,Senior,Back-end Developer,20.000
1028,Senior,Back-end Developer,17.000
1029,Middle,Back-end Developer,12.000
1030,Middle,Full Stack Developer,14.000
1031,Senior,Full Stack Developer,24.000
1032,Middle,DevOps Engineer,11.000
1033,Senior,Mobile Application Developer,19.000
1034,Junior,Mobile Application Developer,8.000
1035,Junior,Full Stack Developer,8.000
1036,Junior,Back-end Developer,9.000
1038,Senior,Full Stack Developer,21.000
1039,Junior,Front-end Developer,5.000
1040,Middle,Back-end Developer,14.000
1041,Senior,Mobile Application Developer,19.000
1042,Middle,Game Developer,11.000
1043,Middle,DevOps Engineer,28.000
1044,Senior,Full Stack Developer,18.000
1045,Senior,Front-end Developer,21.000
1046,Senior,Embedded Software Developer,11.000
1047,Senior,Full Stack Developer,13.000
1048,Middle,Full Stack Developer,15.000
1049,Junior,Software Architect,11.000
1050,Junior,SAP/ABAP/ERP Developer,11.000
1051,Middle,Full Stack Developer,12.000
1053,Junior,Full Stack Developer,8.000
1054,Junior,Back-end Developer,6.000
1055,Senior,Software Development Manager,40.000
1056,Middle,Full Stack Developer,7.000
1057,Middle,Full Stack Developer,14.000
1058,Junior,Mobile Application Developer,50.000
1059,Middle,Full Stack Developer,18.000
1061,Senior,Full Stack Developer,20.000
1062,Senior,Front-end Developer,16.000
1063,Middle,SysAdmin,6.000
1064,Senior,Team / Tech Lead,23.000
1065,Middle,Back-end Developer,16.000
1066,Senior,Team / Tech Lead,50.000
1067,Senior,CTO,45.000
1069,Junior,Back-end Developer,7.000
1070,Senior,Team / Tech Lead,20.000
1071,Middle,Back-end Developer,15.000
1072,Middle,Back-end Developer,14.000
1073,Middle,Back-end Developer,18.000
1074,Senior,Back-end Developer,16.000
1075,Junior,Full Stack Developer,11.000
1076,Middle,DevOps Engineer,16.000
1077,Middle,Embedded Software Developer,14.000
1078,Middle,Back-end Developer,13.000
1079,Middle,Full Stack Developer,12.000
1080,Senior,Front-end Developer,20.000
1081,Middle,Mobile Application Developer,8.000
1082,Middle,Game Developer,14.000
1083,Middle,Embedded Software Developer,12.000
1084,Middle,Front-end Developer,13.000
1085,Senior,Back-end Developer,19.000
1086,Senior,Team / Tech Lead,11.000
1087,Senior,Software Development Manager,43.000
1088,Senior,Full Stack Developer,30.000
1089,Middle,Full Stack Developer,24.000
1090,Junior,Full Stack Developer,12.000
1091,Senior,Team / Tech Lead,27.000
1092,Senior,Back-end Developer,21.000
1093,Senior,Full Stack Developer,15.000
1094,Middle,Full Stack Developer,7.000
1095,Middle,Front-end Developer,9.000
1096,Senior,Front-end Developer,13.000
1097,Senior,Mobile Application Developer,20.000
1098,Senior,Full Stack Developer,26.000
1099,Senior,Back-end Developer,20.000
1100,Senior,Back-end Developer,15.000
1101,Senior,Software Architect,27.000
1102,Middle,Front-end Developer,5.000
1103,Middle,Full Stack Developer,10.000
1104,Middle,QA / Test Automation Developer,16.000
1105,Senior,Full Stack Developer,28.000
1106,Senior,Back-end Developer,23.000
1107,Middle,Full Stack Developer,5.000
1108,Senior,Full Stack Developer,15.000
1109,Senior,Front-end Developer,18.000
1110,Senior,Back-end Developer,21.000
1111,Senior,Full Stack Developer,9.000
1112,Junior,Back-end Developer,10.000
1113,Senior,Software Development Manager,23.000
1114,Middle,Full Stack Developer,7.000
1116,Junior,Back-end Developer,9.000
1117,Senior,Back-end Developer,17.000
1118,Junior,Back-end Developer,21.000
1119,Middle,Full Stack Developer,14.000
1120,Senior,Software Development Manager,27.000
1121,Senior,Team / Tech Lead,20.000
1122,Junior,Front-end Developer,9.000
1123,Junior,Mobile Application Developer,9.000
1124,Middle,Mobile Application Developer,15.000
1126,Middle,Front-end Developer,8.000
1127,Junior,Back-end Developer,39.000
1128,Senior,Front-end Developer,23.000
1129,Junior,Mobile Application Developer,12.000
1130,Middle,Back-end Developer,18.000
1131,Senior,Team / Tech Lead,26.000
1132,Junior,Full Stack Developer,6.000
1133,Middle,Full Stack Developer,12.000
1134,Middle,Full Stack Developer,15.000
1135,Junior,Front-end Developer,5.000
1136,Junior,Back-end Developer,8.000
1137,Senior,Team / Tech Lead,32.000
1139,Junior,Front-end Developer,8.000
1140,Senior,Mobile Application Developer,10.000
1141,Junior,Front-end Developer,6.000
1142,Middle,Embedded Software Developer,8.000
1143,Senior,Front-end Developer,21.000
1144,Junior,Full Stack Developer,10.000
1145,Senior,Full Stack Developer,15.000
1149,Senior,CTO,25.000
1151,Senior,Back-end Developer,22.000
1152,Senior,Full Stack Developer,12.000
1153,Senior,Back-end Developer,29.000
1154,Middle,Full Stack Developer,7.000
1155,Senior,Back-end Developer,25.000
1156,Middle,Mobile Application Developer,20.000
1157,Senior,Software Development Manager,34.000
1158,Middle,Back-end Developer,11.000
1159,Senior,Front-end Developer,18.000
1160,Junior,Full Stack Developer,15.000
1162,Senior,Back-end Developer,28.000
1163,Senior,Full Stack Developer,12.000
1164,Junior,Mobile Application Developer,5.000
1165,Junior,Back-end Developer,6.000
1166,Junior,Back-end Developer,5.000
1167,Junior,Embedded Software Developer,12.000
1168,Middle,Front-end Developer,8.000
1169,Senior,Team / Tech Lead,20.000
1170,Senior,Mobile Application Developer,22.000
1171,Senior,Team / Tech Lead,40.000
1172,Junior,Mobile Application Developer,5.000
1173,Middle,Embedded Software Developer,16.000
1174,Middle,Full Stack Developer,5.000
1175,Senior,Back-end Developer,27.000
1176,Junior,Back-end Developer,7.000
1177,Middle,Business Analyst,7.000
1179,Junior,Software Architect,6.000
1180,Middle,Back-end Developer,12.000
1181,Senior,Back-end Developer,20.000
1182,Junior,Mobile Application Developer,7.000
1183,Middle,Back-end Developer,18.000
1184,Junior,Back-end Developer,21.000
1185,Junior,Back-end Developer,5.000
1186,Senior,Full Stack Developer,12.000
1187,Senior,Back-end Developer,28.000
1188,Middle,Back-end Developer,13.000
1189,Senior,Full Stack Developer,16.000
1190,Middle,Back-end Developer,8.000
1191,Senior,Back-end Developer,20.000
1192,Middle,Back-end Developer,28.000
1193,Senior,CTO,35.000
1195,Junior,Back-end Developer,7.000
1196,Junior,Full Stack Developer,12.000
1198,Senior,Mobile Application Developer,29.000
1199,Junior,Full Stack Developer,5.000
1200,Junior,Full Stack Developer,11.000
1202,Senior,Full Stack Developer,26.000
1203,Junior,Embedded Software Developer,6.000
1204,Junior,Front-end Developer,5.000
1205,Middle,Mobile Application Developer,19.000
1206,Senior,Full Stack Developer,24.000
1207,Junior,Full Stack Developer,10.000
1209,Middle,Full Stack Developer,10.000
1210,Senior,Full Stack Developer,22.000
1211,Junior,Full Stack Developer,8.000
1213,Senior,Full Stack Developer,18.000
1214,Senior,Team / Tech Lead,36.000
1215,Middle,Back-end Developer,7.000
1216,Senior,Full Stack Developer,11.000
1217,Junior,Mobile Application Developer,13.000
1219,Middle,Back-end Developer,12.000
1220,Middle,Full Stack Developer,10.000
1221,Middle,Full Stack Developer,10.000
1222,Senior,Full Stack Developer,24.000
1223,Junior,Full Stack Developer,9.000
1224,Middle,Full Stack Developer,8.000
1225,Junior,Back-end Developer,8.000
1226,Middle,Full Stack Developer,7.000
1228,Senior,Full Stack Developer,24.000
1229,Junior,Full Stack Developer,5.000
1230,Senior,Software Development Manager,35.000
1231,Senior,Front-end Developer,8.000
1232,Middle,Front-end Developer,18.000
1233,Junior,Embedded Software Developer,10.000
1235,Senior,Full Stack Developer,19.000
1236,Middle,Full Stack Developer,12.000
1237,Senior,Full Stack Developer,23.000
1238,Junior,Full Stack Developer,12.000
1239,Senior,Team / Tech Lead,21.000
1240,Middle,SAP/ABAP/ERP Developer,10.000
1241,Middle,Mobile Application Developer,7.000
1242,Junior,Back-end Developer,14.000
1243,Senior,Front-end Developer,16.000
1244,Senior,Team / Tech Lead,30.000
1246,Middle,Software Architect,9.000
1247,Senior,Software Development Manager,20.000
1248,Middle,Back-end Developer,16.000
1250,Junior,Full Stack Developer,11.000
1251,Senior,Front-end Developer,14.000
1252,Middle,Full Stack Developer,16.000
1253,Middle,Front-end Developer,8.000
1254,Middle,Back-end Developer,8.000
1255,Middle,Back-end Developer,10.000
1256,Senior,Mobile Application Developer,17.000
1257,Junior,Back-end Developer,9.000
1258,Middle,Full Stack Developer,16.000
1259,Senior,Front-end Developer,18.000
1260,Junior,Back-end Developer,7.000
1261,Junior,Back-end Developer,8.000
1263,Junior,Front-end Developer,8.000
1264,Senior,RPA Developer,12.000
1265,Senior,Software Architect,11.000
1266,Middle,Back-end Developer,17.000
1267,Junior,Back-end Developer,9.000
1268,Middle,Full Stack Developer,8.000
1269,Junior,Game Developer,8.000
1270,Middle,Back-end Developer,21.000
1271,Junior,Back-end Developer,11.000
1272,Junior,Back-end Developer,9.000
1273,Junior,Full Stack Developer,7.000
1276,Middle,Front-end Developer,27.000
1277,Middle,Mobile Application Developer,12.000
1278,Junior,Back-end Developer,12.000
1279,Senior,Mobile Application Developer,25.000
1280,Junior,Machine Learning,5.000
1282,Senior,Back-end Developer,15.000
1283,Junior,Game Developer,30.000
1284,Middle,Back-end Developer,23.000
1285,Senior,Front-end Developer,23.000
1286,Senior,Front-end Developer,5.000
1288,Senior,Mobile Application Developer,18.000
1289,Middle,Full Stack Developer,15.000
1290,Middle,Mobile Application Developer,16.000
1291,Junior,Full Stack Developer,8.000
1292,Senior,Software Development Manager,23.000
1293,Senior,DevOps Engineer,33.000
1294,Middle,Back-end Developer,10.000
1295,Senior,Full Stack Developer,13.000
1296,Junior,Mobile Application Developer,12.000
1297,Middle,Front-end Developer,9.000
1298,Middle,Back-end Developer,10.000
1299,Senior,QA / Test Automation Developer,9.000
1300,Senior,DevOps Engineer,17.000
1301,Middle,Full Stack Developer,6.000
1302,Senior,Full Stack Developer,22.000
1303,Junior,Front-end Developer,7.000
1304,Junior,Full Stack Developer,9.000
1305,Senior,Full Stack Developer,15.000
1306,Senior,Back-end Developer,12.000
1307,Middle,Back-end Developer,10.000
1308,Middle,Full Stack Developer,9.000
1311,Senior,Full Stack Developer,24.000
1312,Senior,Front-end Developer,13.000
1313,Junior,Embedded Software Developer,5.000
1314,Senior,Team / Tech Lead,26.000
1316,Senior,Back-end Developer,32.000
1317,Senior,Back-end Developer,25.000
1318,Senior,Full Stack Developer,12.000
1319,Senior,Software Architect,29.000
1320,Junior,DevOps Engineer,17.000
1321,Junior,Full Stack Developer,7.000
1322,Middle,Front-end Developer,19.000
1323,Senior,Back-end Developer,32.000
1324,Senior,Full Stack Developer,37.000
1325,Senior,Software Architect,30.000
1326,Senior,Back-end Developer,34.000
1327,Junior,Full Stack Developer,8.000
1328,Middle,Full Stack Developer,14.000
1329,Middle,Back-end Developer,8.000
1330,Junior,Game Developer,10.000
1331,Junior,Back-end Developer,11.000
1332,Senior,Team / Tech Lead,50.000
1333,Middle,Back-end Developer,22.000
1334,Senior,Back-end Developer,5.000
1335,Senior,Back-end Developer,38.000
1336,Middle,Back-end Developer,12.000
1337,Senior,Back-end Developer,32.000
1338,Junior,QA / Test Automation Developer,6.000
1339,Junior,Back-end Developer,10.000
1340,Junior,DevOps Engineer,16.000
1341,Junior,Front-end Developer,8.000
1342,Senior,Front-end Developer,12.000
1343,Junior,Full Stack Developer,10.000
1344,Middle,Full Stack Developer,7.000
1345,Junior,DevOps Engineer,11.000
1346,Middle,Full Stack Developer,21.000
1347,Middle,Back-end Developer,9.000
1348,Junior,Machine Learning,6.000
1349,Junior,Back-end Developer,8.000
1352,Middle,Project & Product Manager / PO,18.000
1353,Middle,R&D Engineer,10.000
1354,Junior,Full Stack Developer,6.000
1355,Junior,Data Scientist,13.000
1356,Middle,Front-end Developer,10.000
1357,Middle,Back-end Developer,14.000
1358,Senior,Back-end Developer,17.000
1360,Junior,Game Developer,6.000
1361,Senior,Full Stack Developer,17.000
1362,Junior,Front-end Developer,15.000
1365,Junior,Front-end Developer,5.000
1366,Middle,Mobile Application Developer,19.000
1367,Senior,Game Developer,50.000
1368,Senior,Back-end Developer,34.000
1369,Middle,Full Stack Developer,15.000
1370,Middle,Front-end Developer,10.000
1371,Junior,Full Stack Developer,12.000
1372,Junior,Full Stack Developer,12.000
1373,Senior,Front-end Developer,17.000
1374,Senior,Project & Product Manager / PO,50.000
1375,Middle,Back-end Developer,15.000
1376,Junior,Front-end Developer,6.000
1377,Junior,Front-end Developer,8.000
1378,Junior,Full Stack Developer,9.000
1379,Senior,Team / Tech Lead,35.000
1380,Middle,Full Stack Developer,12.000
1381,Junior,DevOps Engineer,11.000
1382,Middle,Full Stack Developer,12.000
1383,Junior,Mobile Application Developer,8.000
1384,Senior,Back-end Developer,20.000
1387,Senior,Full Stack Developer,18.000
1388,Middle,Back-end Developer,13.000
1389,Junior,Data Scientist,8.000
1390,Senior,Back-end Developer,20.000
1391,Middle,Back-end Developer,8.000
1392,Senior,Full Stack Developer,13.000
1393,Middle,Back-end Developer,5.000
1394,Junior,QA / Test Automation Developer,5.000
1395,Middle,Back-end Developer,25.000
1396,Middle,Full Stack Developer,21.000
1398,Senior,Full Stack Developer,18.000
1399,Senior,CTO,40.000
1400,Middle,Full Stack Developer,22.000
1401,Middle,Full Stack Developer,8.000
1402,Middle,Full Stack Developer,11.000
1403,Middle,Full Stack Developer,11.000
1404,Middle,Full Stack Developer,22.000
1405,Senior,Team / Tech Lead,20.000
1406,Senior,Full Stack Developer,21.000
1407,Senior,Full Stack Developer,20.000
1408,Junior,Mobile Application Developer,11.000
1409,Senior,Team / Tech Lead,40.000
1410,Middle,Full Stack Developer,25.000
1411,Senior,Team / Tech Lead,36.000
1412,Middle,Full Stack Developer,8.000
1413,Senior,Team / Tech Lead,43.000
1415,Junior,Front-end Developer,7.000
1416,Senior,Software Architect,15.000
1417,Middle,Full Stack Developer,15.000
1418,Senior,CTO,35.000
1420,Senior,Full Stack Developer,16.000
1421,Junior,Full Stack Developer,6.000
1422,Senior,Back-end Developer,17.000
1423,Middle,Full Stack Developer,8.000
1424,Senior,Project & Product Manager / PO,27.000
1425,Middle,Mobile Application Developer,19.000
1426,Junior,Mobile Application Developer,8.000
1427,Senior,Full Stack Developer,17.000
1428,Middle,Full Stack Developer,14.000
1429,Junior,Full Stack Developer,5.000
1431,Senior,Full Stack Developer,17.000
1432,Junior,Full Stack Developer,5.000
1433,Senior,Software Architect,15.000
1434,Middle,Game Developer,5.000
1435,Junior,Full Stack Developer,15.000
1436,Senior,Software Architect,14.000
1437,Senior,Front-end Developer,5.000
1439,Senior,Full Stack Developer,6.000
1440,Junior,Back-end Developer,14.000
1441,Middle,Full Stack Developer,5.000
1442,Middle,Back-end Developer,17.000
1443,Junior,Back-end Developer,20.000
1445,Senior,Back-end Developer,9.000
1446,Senior,Front-end Developer,33.000
1447,Senior,Team / Tech Lead,28.000
1448,Senior,Full Stack Developer,15.000
1449,Senior,Full Stack Developer,23.000
1450,Middle,Data Analyst,15.000
1451,Junior,Mobile Application Developer,6.000
1452,Senior,Front-end Developer,20.000
1453,Senior,Full Stack Developer,15.000
1454,Junior,Mobile Application Developer,7.000
1455,Middle,Full Stack Developer,11.000
1456,Senior,Software Architect,25.000
1457,Junior,Full Stack Developer,7.000
1458,Junior,Mobile Application Developer,11.000
1459,Senior,Full Stack Developer,26.000
1460,Middle,Full Stack Developer,22.000
1462,Senior,Back-end Developer,20.000
1463,Senior,Back-end Developer,19.000
1464,Junior,Back-end Developer,7.000
1465,Middle,Full Stack Developer,14.000
1466,Senior,Full Stack Developer,14.000
1467,Middle,Back-end Developer,14.000
1468,Junior,Full Stack Developer,12.000
1469,Middle,Front-end Developer,10.000
1471,Middle,Front-end Developer,12.000
1472,Senior,Team / Tech Lead,20.000
1473,Junior,Business Analyst,8.000
1474,Senior,Team / Tech Lead,29.000
1475,Middle,Back-end Developer,14.000
1476,Senior,Back-end Developer,38.000
1477,Senior,Full Stack Developer,22.000
1478,Senior,Team / Tech Lead,9.000
1479,Junior,Full Stack Developer,8.000
1480,Junior,Back-end Developer,5.000
1481,Senior,Back-end Developer,24.000
1482,Junior,Data Analyst,5.000
1483,Junior,Full Stack Developer,5.000
1484,Senior,Team / Tech Lead,20.000
1485,Junior,Front-end Developer,8.000
1486,Junior,Front-end Developer,5.000
1487,Senior,Team / Tech Lead,42.000
1488,Middle,Front-end Developer,46.000
1489,Middle,Front-end Developer,20.000
1490,Middle,Back-end Developer,17.000
1492,Junior,Data Scientist,9.000
1493,Middle,DevOps Engineer,7.000
1494,Senior,Security,19.000
1495,Senior,Full Stack Developer,25.000
1496,Junior,SAP/ABAP/ERP Developer,5.000
1498,Junior,Full Stack Developer,5.000
1499,Senior,Software Architect,32.000
1501,Senior,CTO,35.000
1502,Senior,Software Architect,25.000
1503,Junior,Back-end Developer,19.000
1504,Middle,Full Stack Developer,12.000
1505,Senior,Software Architect,26.000
1506,Junior,Data Scientist,9.000
1507,Middle,Back-end Developer,9.000
1508,Middle,Full Stack Developer,14.000
1510,Middle,Front-end Developer,15.000
1511,Junior,Data Scientist,9.000
1512,Senior,Back-end Developer,22.000
1513,Senior,Full Stack Developer,17.000
1514,Senior,Full Stack Developer,14.000
1515,Senior,Software Architect,25.000
1516,Senior,Back-end Developer,20.000
1517,Middle,Full Stack Developer,15.000
1519,Senior,Front-end Developer,8.000
1520,Middle,Back-end Developer,15.000
1521,Senior,Full Stack Developer,15.000
1522,Junior,Full Stack Developer,5.000
1523,Junior,Full Stack Developer,9.000
1524,Senior,Back-end Developer,25.000
1525,Senior,Software Development Manager,28.000
1526,Middle,Back-end Developer,10.000
1527,Senior,Software Architect,29.000
1528,Middle,Mobile Application Developer,15.000
1529,Middle,Back-end Developer,9.000
1530,Junior,Data Scientist,10.000
1531,Middle,QA / Test Automation Developer,13.000
1532,Middle,Front-end Developer,15.000
1533,Senior,Full Stack Developer,22.000
1534,Senior,Back-end Developer,21.000
1536,Middle,Full Stack Developer,9.000
1537,Junior,Mobile Application Developer,6.000
1539,Senior,Back-end Developer,16.000
1540,Middle,Back-end Developer,11.000
1542,Senior,Team / Tech Lead,30.000
1544,Junior,Full Stack Developer,8.000
1545,Junior,Full Stack Developer,5.000
1546,Middle,Mobile Application Developer,21.000
1547,Junior,Front-end Developer,9.000
1548,Junior,Full Stack Developer,11.000
1549,Middle,Back-end Developer,12.000
1550,Middle,Back-end Developer,16.000
1551,Middle,RPA Developer,15.000
1552,Junior,Mobile Application Developer,7.000
1553,Middle,Full Stack Developer,13.000
1554,Middle,Back-end Developer,19.000
1555,Senior,Full Stack Developer,17.000
1556,Senior,Full Stack Developer,10.000
1557,Junior,Full Stack Developer,6.000
1558,Junior,Front-end Developer,8.000
1559,Senior,Full Stack Developer,9.000
1560,Junior,Mobile Application Developer,8.000
1561,Senior,CTO,41.000
1562,Junior,Full Stack Developer,10.000
1563,Senior,DevOps Engineer,25.000
1564,Middle,Full Stack Developer,12.000
1566,Middle,Full Stack Developer,12.000
1567,Junior,Back-end Developer,6.000
1568,Senior,Team / Tech Lead,10.000
1569,Middle,Back-end Developer,23.000
1570,Junior,Back-end Developer,11.000
1572,Junior,Full Stack Developer,8.000
1573,Senior,Team / Tech Lead,16.000
1574,Junior,RPA Developer,8.000
1575,Junior,Front-end Developer,5.000
1577,Senior,Full Stack Developer,20.000
1578,Senior,Game Developer,15.000
1579,Junior,Back-end Developer,9.000
1580,Junior,Back-end Developer,5.000
1581,Junior,Embedded Software Developer,15.000
1582,Senior,Embedded Software Developer,20.000
1583,Middle,Full Stack Developer,5.000
1584,Senior,Full Stack Developer,31.000
1585,Senior,Full Stack Developer,27.000
1586,Middle,Back-end Developer,17.000
1587,Middle,Full Stack Developer,9.000
1588,Senior,Full Stack Developer,12.000
1589,Senior,Front-end Developer,6.000
1590,Senior,Team / Tech Lead,23.000
1591,Senior,Team / Tech Lead,24.000
1592,Middle,Back-end Developer,18.000
1593,Middle,Team / Tech Lead,18.000
1594,Senior,Full Stack Developer,19.000
1595,Middle,Mobile Application Developer,20.000
1596,Junior,QA / Test Automation Developer,12.000
1598,Junior,Back-end Developer,15.000
1599,Junior,Full Stack Developer,10.000
1600,Junior,Full Stack Developer,7.000
1601,Junior,Mobile Application Developer,5.000
1602,Middle,Front-end Developer,9.000
1603,Senior,Back-end Developer,11.000
1604,Senior,Full Stack Developer,15.000
1605,Junior,Full Stack Developer,6.000
1606,Senior,Full Stack Developer,23.000
1607,Middle,Front-end Developer,16.000
1608,Senior,Full Stack Developer,15.000
1609,Middle,Full Stack Developer,17.000
1610,Middle,Full Stack Developer,12.000
1611,Junior,Embedded Software Developer,5.000
1612,Senior,Full Stack Developer,25.000
1613,Middle,Back-end Developer,13.000
1614,Junior,Front-end Developer,5.000
1615,Junior,Back-end Developer,13.000
1616,Junior,Data Analyst,8.000
1618,Middle,QA / Test Automation Developer,7.000
1620,Senior,Team / Tech Lead,35.000
1621,Junior,Back-end Developer,5.000
1622,Middle,Full Stack Developer,8.000
1623,Middle,Mobile Application Developer,12.000
1624,Senior,Full Stack Developer,19.000
1625,Senior,Full Stack Developer,7.000
1626,Senior,Team / Tech Lead,29.000
1627,Middle,Back-end Developer,22.000
1628,Senior,Mobile Application Developer,16.000
1629,Senior,Back-end Developer,23.000
1630,Middle,Back-end Developer,28.000
1631,Junior,Full Stack Developer,8.000
1632,Junior,Embedded Software Developer,10.000
1633,Middle,Back-end Developer,50.000
1634,Middle,Back-end Developer,16.000
